imagen,iou,inference_time_sec,gt_d50,pred_d50,gt_d80,pred_d80,gt_count,pred_count,error_abs_d50
000014_jpg.rf.e4f4352e52f4bbfa6292becd80b19577.jpg,0.8086,12.5756,316.22,4704.45,400.69,6344.59,158,272,4388.23
000152_jpg.rf.0e3d88e2a80b53fb1acb179cba910bb3.jpg,0.798,11.7241,311.47,4756.83,375.83,5849.58,157,258,4445.36
000157_jpg.rf.0701ebeed0f271d1f7e195ebbca8d008.jpg,0.8132,10.0075,316.08,4815.57,401.15,5975.01,149,254,4499.49
How-to-make-manufactured-sand-from-crushing-rocks_mp4-0010_jpg.rf.cce690975f7f64cbcc92f66de3b6041e.jpg,0.2322,1.0933,49.24,4650.0,73.31,4916.79,42,290,4600.76
How-to-make-manufactured-sand-from-crushing-rocks_mp4-0089_jpg.rf.bf3c315a88a5b760a7019b2c491d06d2.jpg,0.3215,0.5159,69.79,2964.8,77.87,3826.36,18,104,2895.0
How-to-make-manufactured-sand-from-crushing-rocks_mp4-0102_jpg.rf.02d3595b4942157246fb0b402da43d8b.jpg,0.0532,0.35,16.29,992.05,17.47,1303.55,6,67,975.76
How-to-make-manufactured-sand-from-crushing-rocks_mp4-0157_jpg.rf.dbf072477ed81ec807b5fcdf88217231.jpg,0.0515,0.7835,23.36,531.86,26.94,712.37,15,302,508.5
IMG_0046_JPG_jpg.rf.129e1c91a977d4977f45406d6fc49c42.jpg,0.5401,4.2238,259.43,5031.53,316.83,8574.59,81,195,4772.11
IMG_0047_JPG_jpg.rf.4062253080bae5b7de2fed32e8d6a650.jpg,0.5074,5.5098,236.93,7676.78,295.1,12889.07,79,182,7439.85
IMG_0048_JPG_jpg.rf.f833f960b1d45cece83d2483808fdb3b.jpg,0.5383,2.508,420.93,8416.8,493.85,11772.41,37,83,7995.87
reforco09_jpeg_jpg.rf.e4b4ce9c796f932f5dab798b61109e2a.jpg,0.912,1.9268,232.15,4642.81,257.54,7055.6,67,196,4410.65
test-1-_jpg.rf.b5be850bc6fd3791bd50bd0c03cea1ed.jpg,0.8641,0.8864,103.87,1646.04,144.56,2278.22,69,118,1542.18
VID-20240802-WA0018_mp4-0009_jpg.rf.4d27af874b3559edc5a63fb6b87398c4.jpg,0.2287,1.6011,25.65,442.92,31.55,551.06,87,701,417.26
